,full_text,created_at,retweet_count,favorite_count,retweeted,Month,Weekday,Hour,Sentiment
102,"RT @HouseGOP: It’s NOT about the facts...

It’s NOT about fairness...

It’s NOT about finding the truth for the American people...

For Hou…",Wed Nov 13 21:03:10 +0000 2019,11804,0,FALSE,11,2,21,Positive
103,"RT @GOPoversight: 📺 WATCH: Democrats ask star witness about alleged quid pro quo. 

Star witness admits he has no first-hand knowledge of t…",Wed Nov 13 19:08:06 +0000 2019,11184,0,FALSE,11,2,19,Neutral
104,RT @Jim_Jordan: .@RepAdamSchiff is the ONLY member of Congress who knows the identity of the “Whistleblower” who started this entire sham.…,Wed Nov 13 19:08:00 +0000 2019,17176,0,FALSE,11,2,19,Neutral
105,"RT @RepMattGaetz: Their star witness knows nothing. 

#ImpeachmentHearings @Jim_Jordan https://t.co/djTTLkvNZo",Wed Nov 13 19:07:16 +0000 2019,21460,0,FALSE,11,2,19,Neutral
106,"RT @GOPoversight: WATCH: @RepAdamSchiff changes the rules in the middle of his #impeachment hearing. 

We're not surprised.

Schiff's impea…",Wed Nov 13 19:07:04 +0000 2019,10240,0,FALSE,11,2,19,Neutral
107,"RT @RepKevinBrady: Under @HouseGOP Majority, the @WaysandMeansGOP hearing room was used to improve the lives of Americans with things like…",Wed Nov 13 19:06:55 +0000 2019,6015,0,FALSE,11,2,19,Positive
108,"RT @RepArrington: Today, @HouseDemocrats hijacked our @WaysMeansCmte hearing room for their political impeachment circus.

Their obsession…",Wed Nov 13 19:06:25 +0000 2019,9800,0,FALSE,11,2,19,Neutral
109,"RT @SteveScalise: Schiff has emerged from his bunker to put on a public show. But the facts haven't changed.
 
- @realDonaldTrump and Zelen…",Wed Nov 13 17:04:19 +0000 2019,14411,0,FALSE,11,2,17,Neutral
110,"RT @SteveScalise: Meet the “star witnesses” Adam Schiff called today:

- Neither have any firsthand knowledge
- Neither spoke to @realDonal…",Wed Nov 13 17:04:08 +0000 2019,25069,0,FALSE,11,2,17,Neutral
111,"RT @TomFitton: If Schiff doesn't know who the ""whistleblower"" is -- how can he protect his identity.  Cover-up!",Wed Nov 13 17:02:41 +0000 2019,16868,0,FALSE,11,2,17,Positive
112,"RT @RepLeeZeldin: Schiff isn’t even trying to hide it. He is the prosecutor, judge, jury, witness coach &amp; lead story teller of this kangaro…",Wed Nov 13 17:00:38 +0000 2019,19262,0,FALSE,11,2,17,Positive
113,"RT @WhiteHouse: ""They're trying to stop me, because I'm fighting for you. And I'll never let that happen."" — President @realDonaldTrump htt…",Wed Nov 13 16:58:15 +0000 2019,31071,0,FALSE,11,2,16,Neutral
114,https://t.co/FJ8gMdh5bX,Wed Nov 13 16:50:37 +0000 2019,20155,59648,FALSE,11,2,16,Neutral
115,"RT @GOPLeader: .@Jim_Jordan to Chairman Schiff: ""Of the 435 members of Congress, you are the only Member who knows who the whistleblower is…",Wed Nov 13 16:36:57 +0000 2019,14970,0,FALSE,11,2,16,Neutral
116,"RT @GOPLeader: WATCH: 

@DevinNunes: ""After vowing publicly that impeachment requires bipartisan support, Democrats are pushing impeachment…",Wed Nov 13 16:36:49 +0000 2019,12678,0,FALSE,11,2,16,Positive
117,"RT @HouseGOP: Adam Schiff just claimed he doesn't know the whistleblower's identity.

He deliberately mislead the public about his office's…",Wed Nov 13 16:36:40 +0000 2019,12212,0,FALSE,11,2,16,Negative
118,"RT @GOPoversight: FACT CHECK: Neither Ambassador Taylor nor George Kent have first-hand knowledge of a quid pro quo from the President. 

W…",Wed Nov 13 16:36:34 +0000 2019,7169,0,FALSE,11,2,16,Neutral
119,"RT @RepMarkMeadows: Reminder: the Chairman was caught misleading a reporter about communication with the whistleblower, barely four weeks a…",Wed Nov 13 16:36:28 +0000 2019,9956,0,FALSE,11,2,16,Negative
120,"RT @GOPLeader: This 👏 is 👏 a 👏 sham 👏
→ Democrats are refusing access to important witnesses.
→ The President's legal counsel is not allowe…",Wed Nov 13 16:36:11 +0000 2019,10506,0,FALSE,11,2,16,Negative
121,"RT @RepLizCheney: Just minutes after President Trump took his oath of office on Inauguration Day 2017, the Washington Post ran a piece ushe…",Wed Nov 13 16:36:02 +0000 2019,9757,0,FALSE,11,2,16,Positive
122,"RT @RepJimBanks: Today, America will see one party try and overturn the constitutional election of a president of the United States of Amer…",Wed Nov 13 16:35:55 +0000 2019,6610,0,FALSE,11,2,16,Negative
123,"RT @RepMarkMeadows: 4 inconvenient facts for the Democrat impeachment fantasy:

- Call transcript shows zero link between aid and political…",Wed Nov 13 16:35:41 +0000 2019,10555,0,FALSE,11,2,16,Neutral
124,"RT @GOPoversight: .@RepAdamSchiff's sham #impeachment hearings begin today. 

But make no mistake, Democrats have been out to get the Presi…",Wed Nov 13 16:35:27 +0000 2019,7932,0,FALSE,11,2,16,Negative
125,RT @WhiteHouse: New hoax. Same swamp. https://t.co/6byw3BVxFR,Wed Nov 13 16:08:54 +0000 2019,12194,0,FALSE,11,2,16,Neutral
126,READ THE TRANSCRIPT!,Wed Nov 13 13:30:55 +0000 2019,23697,113824,FALSE,11,2,13,Neutral
127,NEVER TRUMPERS!,Wed Nov 13 13:30:31 +0000 2019,12843,66157,FALSE,11,2,13,Neutral
128,"....any laws or did anything wrong, and they have to move away from quid pro quo because there was no quid, and there was no quo. Ukraine got it’s money (3 weeks early), and there was no investigation.” @CharlesHurt @foxandfriends",Wed Nov 13 13:18:10 +0000 2019,10157,39795,FALSE,11,2,13,Negative
129,"...the most powerful tool the legislative branch has, Impeachment, &amp; they’ve turned it into a political cudgel, which is not at all what the Founders intended. When you hear Schiff use all these words like quid pro quo, it is because they can’t specify that Donald Trump broke..",Wed Nov 13 13:18:08 +0000 2019,10379,40823,FALSE,11,2,13,Positive
130,"“Nancy Pelosi cares more about power than she does about principle. She did not want to go down this road. She realizes this is a huge loser for Democrats. The Founders envisioned the worst people being in politics, yet they couldn’t envision this. You have these people taking...",Wed Nov 13 13:18:05 +0000 2019,15863,60098,FALSE,11,2,13,Negative
131,The Democrats have stacked the deck against President Trump and the Republicans. They have leaked out everything. @SteveDoocy @foxandfriends,Wed Nov 13 12:11:42 +0000 2019,12961,53255,FALSE,11,2,12,Positive
132,"“Millions of Americans will see what a partisan sham this whole thing is.” Rush Limbaugh @foxandfriends  Also, why is corrupt politician Schiff allowed to hand over cross examination to a high priced outside lawyer. Did that lawyer ever work for me, which would be a conflict?",Wed Nov 13 12:03:03 +0000 2019,20923,82792,FALSE,11,2,12,Negative
133,RT @DanScavino: https://t.co/BwfxXfm983,Wed Nov 13 03:40:50 +0000 2019,13947,0,FALSE,11,2,3,Neutral
